ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,359251,169524,183646,427908,216481,211427,431372,214284,211355,321541,159815,155537,313169,144687,167995,320185,129174,185178,338860,126389,195288,345499,152290,170132,591922,457773,75914,22757,20534,12757,842,19968,17156,10509,1601,0,810690,550997,160364,37656,46258,23372,2585,0,0,604396,461221,80112,24424,21286,14171,988,0,0,0,0,0,821999,551087,162365,41251,50137,25576,3148,28624,37172,15338,1164,2932,23318,720701,523315,127034,27205,29666,20411,2069,0,0,564721,434959,80170,17940,21380,13398,1360,0,0,641683,448988,106442,23201,29527,9976,700,2825,20024,794093,520389,155650,43924,50101,30434,3003,641683,448988,106442,30278,36297,21680,1981
3,2,298821,142858,149116,370603,187712,182891,373420,180754,186833,259756,130435,120841,254138,124229,129347,258871,109315,142332,279962,124682,136059,284092,126289,135220,586897,327362,104700,18705,7684,126027,1383,16559,6100,120406,1659,0,801864,398904,177831,30229,16960,193062,4252,0,0,601196,334284,108809,19892,8032,127124,1525,0,0,0,0,0,813527,403222,182183,32059,17567,192383,4591,21993,10303,171735,1878,1772,20428,746052,385545,151704,25246,13259,183881,3152,0,0,546524,309603,96702,16170,9387,119830,2235,0,0,610248,332997,113043,17566,8469,115751,1042,2164,19216,794223,397575,166856,33855,18141,188717,4443,610248,332997,113043,22739,13402,131426,3091
8,3,202340,141812,56303,255261,186273,68988,257437,183495,70010,171740,123606,42979,167442,117363,49672,171054,109347,57218,190624,112027,68946,194246,130861,49602,455352,170482,209187,48317,12833,12640,861,45152,11186,10507,1756,0,817936,202439,496615,82906,27275,27137,3920,0,0,471469,171544,222497,48948,13586,12717,663,0,0,0,0,0,830436,203240,503784,85119,29525,27645,3700,68796,20252,14415,1494,1711,16745,719548,190056,433997,67769,21605,25291,2551,0,0,490662,161251,262477,44562,15393,16386,1596,0,0,578485,172209,309762,51481,16533,10475,1196,2690,14139,795262,198394,464873,89608,29570,37463,3789,578485,172209,309762,61348,22131,26524,2437
6,4,296384,166788,122477,363235,218910,144325,366977,214946,144869,258432,151755,100141,251071,139927,110737,257140,129285,121785,278821,125142,137612,285018,145514,112939,545453,339855,119027,41244,24497,17779,1549,37766,20895,14871,1988,0,798627,415790,234615,67672,60108,35967,5827,0,0,561572,344033,124234,45332,27929,17067,1519,0,0,0,0,0,812526,418260,237667,73726,64188,34656,6096,56217,49887,19874,2800,1326,26492,719747,404782,204542,50773,43372,28333,4140,0,0,540941,331668,130704,33655,32223,18402,2642,0,0,620220,332471,162328,39433,44147,14616,1975,2935,22315,794860,392430,236304,71258,67986,42682,5731,620220,332471,162328,49763,53027,30081,3793
5,5,333156,127813,198764,418712,175280,243432,422729,169694,246468,287876,117849,163449,280588,106014,174129,287026,92778,188492,299780,91466,189996,306653,104816,177188,531117,415489,70131,18264,18912,6306,922,15994,16235,4435,1272,0,741492,540487,122621,32159,39826,11201,3022,0,0,548878,428435,72208,19607,19216,6772,712,0,0,0,0,0,763598,553207,127152,35027,40634,12935,2981,24096,29977,4894,1044,1930,21301,629650,478298,93716,23070,29311,9975,2730,0,0,461476,367881,56290,13688,19019,6205,1519,0,0,599546,437807,86723,17784,29390,4608,1298,2293,19643,794173,552085,134165,37079,52757,22194,4821,599546,437807,86723,23696,36096,15052,2984
4,6,366728,176261,183013,430100,221561,208539,433055,217775,208621,331833,160563,163939,323618,161268,161765,330447,138448,184755,347706,146035,182131,355586,158430,170773,584488,408119,128003,20977,17189,7923,684,18267,13345,5062,1755,0,771333,488023,208779,36332,33860,18328,3208,0,0,590763,409497,130297,22630,18182,8235,681,0,0,0,0,0,773610,485826,208031,38148,35010,19339,2703,24601,22628,5805,1006,1276,24428,741175,499514,176078,32787,27540,15582,2975,0,0,581006,417650,115870,21646,19644,10826,1872,0,0,640318,423196,145442,20517,19744,5013,1310,2926,22170,794576,491560,208503,40832,36799,27015,4199,640318,423196,145442,27955,27223,19892,2770
2,7,235256,148631,81815,295595,193008,102587,298658,187555,106519,199919,127899,65631,194843,128009,66471,199066,115732,77740,221296,121300,87449,227931,140087,72833,500690,197966,246889,23904,10163,20217,693,21852,8443,17873,1347,0,781515,236013,460584,43756,21999,55943,2654,0,0,519891,201778,261461,23196,10543,20603,1162,0,0,0,0,0,798688,237297,476731,42903,22524,55927,3731,29094,14171,25230,1718,1729,12738,736510,241268,421640,35426,19096,39561,2493,0,0,527215,202636,272431,22889,13987,26059,1590,0,0,596729,205246,320892,23979,12407,16717,1003,2343,14142,795077,239876,460187,45673,23572,49041,3356,596729,205246,320892,30928,17807,34637,2255
7,8,299593,130907,162617,368515,175177,193338,372784,169006,198309,259767,120892,131766,252833,109882,142449,259039,95310,157265,281938,99464,163045,288292,114953,152698,537694,369428,109836,27193,20514,8203,1074,24389,17672,5665,1855,0,769175,455769,214057,50089,45688,15340,4004,0,0,546551,371236,113803,29418,20433,9082,931,0,0,0,0,0,777126,452162,217973,53570,46853,18174,3676,36402,35597,7124,1329,2368,24176,697276,444297,176203,39316,32457,13597,2626,0,0,517561,357662,107622,24490,22736,8684,1608,0,0,610267,372922,149235,30514,28533,5413,1073,2730,19847,794699,447544,224063,58273,49586,25898,4011,610267,372922,149235,38393,35406,18016,2582
1,9,340818,104145,231329,424199,142065,282134,428862,134634,288702,296679,98286,190917,288665,89347,198833,296541,74952,216098,308073,84740,198741,317340,87927,211016,586757,471774,76533,15283,10466,10706,646,13147,8682,6600,1473,0,757667,568585,133197,24467,18753,18801,2867,0,0,605394,484794,82631,14236,11210,10675,711,0,0,0,0,0,782554,579421,144804,23512,20008,18646,2821,16150,13061,7879,890,2409,17935,681358,528572,110235,17073,14601,16755,2370,0,0,532897,434585,68937,10532,9822,11504,1473,0,0,644480,492258,95750,12419,11046,6904,993,2363,22747,794539,576694,141652,25892,22620,30116,3859,644480,492258,95750,17076,16241,21922,2588
