ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,299504,112923,180458,355445,139409,207418,271547,105563,165984,275925,101061,174864,304737,108393,175301,557927,420570,78024,12736,24847,18618,1158,10674,22047,8599,2314,0,762660,517324,153220,21971,47209,33770,5385,0,0,558496,417194,80735,13006,25774,18431,1134,0,0,0,0,0,761377,510435,156170,22042,48779,33120,5388,13046,37725,10624,1676,1116,30585,760310,540232,134796,18698,40159,35656,3853,0,0,583745,438877,85060,12103,27392,23920,2435,0,0,596033,396603,112172,9831,31041,10472,1480,3229,31205,764585,479967,166020,22251,52535,50824,5573,596033,396603,112172,14813,37957,35820,3772,760034,480448,162825,20278,52052,49445,5246
2,2,362147,261449,92246,422622,310585,101685,332396,243119,89277,337868,243193,94675,363155,250256,85135,561305,442215,62529,11839,24377,17371,1026,8893,19564,10083,2444,0,761896,534165,139727,19723,44080,31408,4886,0,0,560470,438875,63995,11925,25479,17006,1045,0,0,0,0,0,758445,526158,140788,19958,45763,31938,4827,10224,29170,12219,1398,4294,34194,741201,538705,126063,16154,36636,32040,3639,0,0,584577,445941,83951,11016,25924,21631,2468,0,0,614940,422782,108553,10228,26654,11059,1304,4171,30189,765497,498935,155058,21206,49156,46716,5130,614940,422782,108553,15519,36098,32989,3636,759815,497979,152796,19003,48956,44578,4980
9,3,354756,161364,185613,433485,208411,214344,323848,148119,175729,327740,144847,182893,339541,144921,170228,548805,429596,58935,12153,34909,10084,1127,9941,29958,3883,2152,0,738041,534636,104996,20405,66989,19061,4744,0,0,555965,430085,63564,12640,36100,10238,1263,0,0,0,0,0,746297,531451,110305,21905,71342,20487,5312,12312,53508,4757,1277,1482,31205,689191,521870,90502,16375,48614,17821,3606,0,0,528335,415862,58270,11230,32784,12226,2314,0,0,599188,425155,78994,10800,44771,5034,1381,3128,29925,764331,516500,116507,22932,80365,30241,6227,599188,425155,78994,15727,55853,21576,4090,759791,516182,114616,20598,79635,29922,5987
3,4,313112,206181,99980,373800,251595,113128,282107,187284,94823,285829,184955,100874,315209,201404,91809,527336,348135,105324,18076,43432,8228,1575,15583,37857,3753,2986,0,757316,414362,226273,30666,77891,20035,6447,0,0,533899,347859,109716,18286,45493,8111,1492,0,0,0,0,0,758119,411112,225205,31876,81522,19392,6587,20587,61694,4566,2440,3187,29328,728968,427958,201528,26842,64881,19473,5611,0,0,563872,357808,130502,18025,49445,13263,3763,0,0,603941,331875,166990,16073,52096,3999,2390,3441,27077,758656,385274,239614,31688,82571,32966,7298,603941,331875,166990,22728,64044,24313,5129,760290,385903,240225,32227,82486,32371,7204
10,5,321579,123992,191856,390246,155712,225958,290962,113896,177066,295982,111069,184913,315603,116465,180115,540970,383662,104259,12705,26410,10743,1756,11167,23082,4580,1693,0,758553,471235,204362,19739,51412,32210,5376,0,0,548312,383187,107925,14034,29476,10864,1474,0,0,0,0,0,765204,467133,207883,22026,55581,34503,5226,15404,41033,5423,2278,1748,24314,733667,486216,175182,18510,39733,21707,4606,0,0,557290,392879,111625,12916,27338,15252,3092,0,0,601159,373837,146591,12060,31737,5300,1799,3139,26696,771776,448875,215921,22697,57012,35873,6428,601159,373837,146591,16213,40602,26284,4556,759957,445520,211498,19393,56244,35432,6008
7,6,243182,168553,69608,308426,213479,87230,214755,151687,63068,216971,148578,68393,235368,160589,59606,482362,217098,104268,69320,76989,6610,5274,62880,71592,2559,3969,0,731944,274665,209703,108856,136039,17377,15044,0,0,489901,216470,109002,70343,78958,6790,5121,0,0,0,0,0,735211,270323,211225,109242,144630,18369,14571,81948,118962,2816,8098,3603,38236,677786,270056,184309,102391,118960,20393,13296,0,0,502624,224366,118202,67492,85611,13723,8830,0,0,578923,221050,151503,63744,97774,3126,7760,3535,30431,757339,261228,219375,112250,153864,31207,17073,578923,221050,151503,78841,113477,22629,12094,760061,261723,219827,110481,152020,29791,16457
8,7,292924,162940,123535,366721,210052,147509,260665,145568,115097,264158,142498,121660,282925,153753,110121,505624,279855,79454,49520,80694,6764,5300,44273,74284,1884,4907,0,723859,351037,143640,80921,144566,16127,13947,0,0,511615,278700,82013,50610,83976,6720,5538,0,0,0,0,0,733830,347732,147827,84303,151142,15944,14546,58930,125062,1778,8526,1724,42251,674848,358577,123934,73303,116087,16072,11167,0,0,501380,289680,77577,46455,80980,10717,7588,0,0,581549,278886,105381,45609,106885,2658,6172,3451,32507,757360,334703,155124,83120,171308,26986,14773,581549,278886,105381,57441,123575,19708,10438,759914,335427,155597,82055,169406,26114,14322
11,8,265338,196538,63896,334041,248757,78027,229117,170155,58962,234445,171363,63082,266803,196079,55904,497046,193816,108175,87420,93235,6585,3567,81746,86924,1688,5764,0,749420,229659,241534,125373,156522,16156,10387,0,0,501157,190160,114696,87248,94421,6392,3574,0,0,0,0,0,750123,222781,246520,124736,159460,16404,12241,99768,128380,2151,5201,4414,40909,696155,230146,202832,128876,136125,14524,10742,0,0,528342,196228,132709,91952,103420,10066,6917,0,0,599968,182413,180298,83251,114755,1872,4370,4313,28696,765071,209815,256892,128196,166753,28539,12698,599968,182413,180298,96818,131409,21146,8900,760281,208895,255192,125010,165343,27666,12208
14,9,214816,124260,86710,277607,162858,108645,184437,106981,77456,187273,104757,82516,212765,122579,78397,452122,179622,147187,42016,71006,5948,3165,38634,66986,1543,4075,0,725515,221403,302742,69276,137852,39113,10833,0,0,457894,175068,153247,43218,72932,6282,3417,0,0,0,0,0,731276,214284,307650,70931,143369,36403,12123,52806,116193,1943,4894,1815,31692,666947,230843,259683,65269,116681,16657,8804,0,0,471934,187232,161757,41384,79551,10849,5588,0,0,559962,166840,215349,44870,101249,2594,4561,2954,21545,761697,199203,321534,78661,161613,31071,12343,559962,166840,215349,54113,115603,22121,8454,759790,198379,320965,76566,158946,30822,11599
