ID,Label,Total_2016-2022_Comp,Dem_2016-2022_Comp,Rep_2016-2022_Comp,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2022_Tres,Dem_2022_Tres,Rep_2022_Tres,Total_2022_Sen,Dem_2022_Sen,Rep_2022_Sen,Total_2022_Gov,Dem_2022_Gov,Rep_2022_Gov,Total_2022_Con,Dem_2022_Con,Rep_2022_Con,Total_2022_AG,Dem_2022_AG,Rep_2022_AG,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,330998,96786,229118,345710,104335,233107,292579,78115,214464,296857,80103,212934,297391,78497,216519,292786,94470,198316,294906,77100,217806,425506,140758,276249,307294,89688,211381,309918,98692,206422,309106,100411,208695,367645,104632,242893,361501,92774,253091,558694,426031,28885,76936,16220,8339,520,73167,12359,2038,2450,0,732687,530813,49320,114798,31663,13859,3793,0,0,569168,432236,30450,78057,17358,8255,567,0,0,0,0,0,746261,536489,51776,117052,33021,13568,3906,99797,19727,2206,915,2085,33263,658852,490836,34671,101563,24470,11942,2345,512543,394875,23792,69175,17700,9057,1536,605666,437444,40422,73423,17775,3487,930,2767,29418,768816,534202,59211,116365,35377,25151,3522,605666,437444,40422,81810,25730,19072,2292
4,2,340934,82349,255735,340878,89792,245458,318659,68472,250187,322060,72690,245642,322723,69227,251662,320588,72552,246812,320350,66393,253957,416329,109354,302406,303553,75773,222428,305732,81564,218489,305233,87835,217398,370052,93024,263558,363219,94927,250201,601314,495365,26364,64406,6706,7436,374,62048,5352,2458,1025,0,762104,603198,48352,89473,13088,10256,1720,0,0,606547,499071,27486,63706,6782,8007,450,0,0,0,0,0,765356,603834,48762,89366,13593,10982,1533,78664,9129,2896,634,2213,19231,734918,594519,38539,83677,10632,10461,1069,589016,485658,26808,62311,7727,8036,710,628116,497515,38465,58145,7660,2724,286,1803,21518,769573,594047,54664,84591,14518,20981,1711,628116,497515,38465,63355,10666,16356,1106
1,3,325009,177086,143895,353054,198272,148673,279790,140839,138951,284619,149045,132401,285116,145198,137765,283420,150185,131763,282103,139617,142486,402461,230017,166683,326644,178750,142649,331399,192460,135667,330740,197952,132788,371097,201919,151717,364574,189510,163689,585942,368886,37322,159913,14762,4047,195,156355,12882,1852,1391,0,756271,444467,57689,219921,32793,6490,1114,0,0,592831,371124,38883,162193,15249,4390,231,0,0,0,0,0,762661,444296,59616,221849,33524,7021,1050,207737,27616,1645,289,2506,18951,725054,442131,47210,207466,26827,6506,927,582137,369491,36382,153200,21457,4928,694,622567,368115,53950,151622,24297,1414,265,2485,20419,769202,434683,70317,216040,37592,13994,1332,622567,368115,53950,161708,29588,10796,963
2,4,276944,142202,131160,307510,160620,141215,229210,110921,118289,232519,113789,115762,232684,110976,119366,130247,73294,56790,230692,108050,122642,362852,199195,157860,278711,145642,128567,281718,157650,121494,280338,154023,126315,326103,167035,145414,320272,140556,167743,526125,281297,38249,182391,18846,3681,285,179111,16758,1256,1904,0,725830,346235,72582,269700,38905,6512,2180,0,0,532580,279715,40944,186086,20491,3704,319,0,0,0,0,0,733173,340741,76534,272598,40621,6723,1980,254904,31570,1380,409,3901,23730,677628,351618,51600,244733,30637,7008,1658,515288,287933,35758,168360,22362,5180,1127,599587,286528,63925,194266,27288,1522,555,3601,21902,769300,339896,89666,289987,44043,14937,2246,599587,286528,63925,208808,33208,11486,1620
5,5,377257,116754,256060,375892,118258,250652,352605,101031,251574,358328,106252,248338,358745,102724,253980,148196,35108,111920,355018,98836,256182,466567,162437,297478,342714,104854,232705,346931,117999,225829,346115,116567,229548,382092,114176,250726,375609,93887,268065,536427,430069,36243,44846,19202,4105,246,42457,16083,1326,1804,0,712902,546038,57939,70316,37061,7436,2554,0,0,552460,440549,38203,47963,19677,4235,366,0,0,0,0,0,734350,556678,62192,74113,37538,7670,2948,60394,25527,1489,409,3324,24342,609818,484416,39230,57465,26816,5810,1492,464747,379523,26082,38294,18523,4140,938,598637,450822,48025,47750,24458,1484,594,2560,22944,769297,559160,70351,80405,43606,16820,2526,598637,450822,48025,55831,30608,12329,1649
21,6,346827,129852,213720,352035,141094,204415,317312,109382,207763,323304,114364,205656,323729,108513,213081,301465,37521,211454,319989,103355,216634,432211,173609,253680,319587,122347,190996,322522,134258,183687,322160,136807,185353,367129,143726,208707,359020,137430,204731,587359,448901,62766,61711,9117,4085,195,60064,7705,1728,730,0,743614,535013,97938,91829,17542,5926,1087,0,0,600776,455999,66451,63849,9598,4242,127,0,0,0,0,0,759013,541070,102105,95305,17561,6055,1028,83723,13216,1950,242,2049,14659,683935,513877,73251,82736,13117,6743,910,549301,430331,49578,57888,9648,5089,644,633296,459638,77556,59885,11552,1584,288,2751,20042,769994,533288,108058,95999,19527,16680,1463,633296,459638,77556,68924,14920,12988,1059
12,7,297308,150263,142684,324244,168893,146529,249425,116275,133150,255438,122892,129486,255556,117485,135998,252126,121064,129801,251939,113249,138690,388711,209593,173439,288857,146781,136104,293178,160731,128761,292735,161006,131729,343096,177562,147066,341765,157720,162407,549821,313037,149622,58909,23594,2579,310,56211,21443,1046,1879,0,749576,385780,228889,98113,46307,6009,1682,0,0,557856,315156,153878,60732,23215,2847,442,0,0,0,0,0,758729,387339,232885,99935,47224,6421,1760,77124,37350,1001,604,3412,19019,669703,388047,171787,81543,35197,6047,1543,516700,314293,122397,57548,25955,4397,1077,608877,305023,182900,60223,34746,958,381,3933,20713,768410,364751,244167,106428,54871,15011,2081,608877,305023,182900,78158,41480,11341,1523
17,8,375132,140439,230335,385347,150004,226631,340411,118845,221552,347824,125169,218831,348189,120251,225776,344435,120472,223933,343890,112726,231164,461966,186187,269533,352875,130621,215286,356185,143096,207650,355789,150230,205559,399766,148780,231704,392404,141504,230212,588329,472269,46021,51722,12296,4171,458,48995,9391,1755,1466,0,742897,561669,74462,81562,22880,7117,1256,0,0,601805,480914,49491,52561,13156,4121,454,0,0,0,0,0,755816,567460,79014,82283,23870,7017,1367,65275,15967,1562,679,3485,22374,684867,535787,57542,72223,17740,6658,1435,551447,447711,39599,48782,13012,4904,955,635069,480408,61097,50560,14803,1588,427,2854,23332,769438,557143,85429,84466,26675,16641,1883,635069,480408,61097,59524,19939,12874,1330
14,9,257803,138101,116754,270867,152850,112969,220736,107424,113312,224803,112231,109957,224911,107192,115878,222543,113570,108138,222436,105529,116907,357946,202606,151122,237567,130953,102412,240168,140261,96979,239979,137622,102356,279674,163362,104396,274524,142785,121041,441500,188704,182608,41989,24218,1777,554,39918,22458,698,1746,0,664395,252371,297001,83832,43602,6111,2444,0,0,456232,190237,192971,43816,25263,1930,524,0,0,0,0,0,686991,251939,312354,88081,46813,6551,2009,60392,38078,888,408,4545,18385,511957,225256,198330,63522,33159,4967,1975,381034,178687,139016,43410,24437,3511,1306,587771,215856,259503,48865,33243,824,518,6232,22730,769765,267450,350037,95981,52884,13649,2347,587771,215856,259503,69277,39238,10336,1724
