ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,330326,224932,89105,359392,218978,92594,363199,250339,107919,278967,192284,80822,277879,192773,72480,358029,249213,93680,351697,246275,89000,561638,251084,41061,257961,9525,1624,79,255518,8742,452,987,0,760196,320383,79788,342441,18697,4290,444,0,0,558148,247584,43193,255258,9982,1457,39,0,0,0,0,0,756253,314922,82309,339838,19730,3900,534,329938,14408,585,42,1618,12428,785328,341288,64429,366382,14580,4904,642,0,0,585984,269683,40149,266034,10209,3368,423,0,0,587356,250150,59894,252585,10538,667,87,1797,11638,753573,306007,89555,337839,17908,10728,694,587356,250150,59894,261210,12990,7846,529
1,2,315597,214549,86365,345095,213056,90973,348226,239866,103278,268283,184843,78011,267320,184616,69800,339246,233986,90718,334275,232279,86404,561287,234024,48937,269534,5143,2681,84,266767,4448,698,1648,0,766987,285675,100494,372736,9794,5435,467,0,0,562008,230236,51153,270942,5857,2749,134,0,0,0,0,0,761407,278865,100181,373156,9929,5377,486,359266,6995,680,90,1767,13560,776249,314696,92006,363159,9040,6684,569,0,0,574824,254142,58418,255970,6707,4577,374,0,0,584489,215997,72325,272113,6325,803,111,2010,14805,754319,259673,106922,373899,10981,14206,843,584489,215997,72325,283575,8530,10411,617
6,3,261900,179774,69378,299299,201822,72345,304741,209968,89268,217554,149880,61498,217618,151519,55826,271956,188744,67489,263577,176566,70321,482303,261941,170591,17875,29081,2196,155,16066,26447,558,723,0,758324,342372,338580,33017,51412,7666,1301,0,0,484340,263419,170285,18624,29329,1982,133,0,0,0,0,0,753322,343291,329613,34875,52616,8544,1458,21602,42398,458,157,1707,14084,761390,350304,340784,34672,42410,9141,1400,0,0,578984,296503,229606,22835,32622,6215,1024,0,0,596946,278898,249041,19057,35871,711,117,2099,11152,753646,324995,340732,38018,53014,25839,1355,596946,278898,249041,27354,41439,19455,1027
3,4,204835,160430,34087,226186,165225,32783,229559,179362,46321,166721,130744,31660,166676,134029,25901,225940,181849,34000,219452,171585,34862,416793,100340,202989,97747,13774,1460,0,96821,12967,418,852,0,731130,122904,456058,132502,25233,8342,709,0,0,420940,99044,211826,94170,14515,1124,0,0,0,0,0,0,718073,119524,450598,126845,26772,8269,759,117929,23454,397,0,854,5318,763267,141210,451297,157980,18135,8696,801,0,0,534134,120864,290508,111121,13783,5761,557,0,0,562002,95578,347044,92168,19311,623,81,1519,5678,753226,109577,489970,129603,27812,37108,988,562002,95578,347044,98694,21774,27134,705
7,5,332213,183067,136117,376309,215571,144783,381571,230663,144298,282891,150168,126499,283039,143325,127772,338516,193529,120724,332800,165085,152374,487336,383533,36009,11320,53655,1722,158,10391,51281,765,980,0,729792,501654,92686,20198,114719,4745,1450,0,0,488188,382789,37982,12271,52253,1807,133,0,0,0,0,0,727219,495542,92893,22320,115787,5263,1213,16203,103911,949,185,1564,15980,725067,533864,82610,15580,92562,3908,729,0,0,555562,423594,53331,10306,67530,2468,512,0,0,588772,407708,65699,11322,90284,406,115,1851,11387,753178,499734,96748,20566,129467,10006,741,588772,407708,65699,14489,95148,7025,563
10,6,353301,177080,159883,400287,207399,172236,402703,220558,174062,304946,146798,150815,304609,141806,146254,356557,179671,149611,352725,166325,166412,523218,415861,44037,25273,35759,1328,89,23643,33583,264,717,0,738419,545332,88836,39056,65182,3575,874,0,0,523332,414623,44958,25458,36154,1423,74,0,0,0,0,0,734979,540597,87770,39361,65857,3780,746,32265,56359,387,104,1153,16346,730102,568756,74786,32718,53150,3833,667,0,0,551072,442428,47589,21506,38505,2494,473,0,0,583212,433602,65595,23498,45659,439,104,1582,12733,753755,541054,97173,37909,68906,11007,774,583212,433602,65595,26865,49923,7764,556
4,7,299901,245160,41338,325605,245022,41671,329375,280807,43444,260092,213653,41597,259014,212219,39012,318098,269906,33459,311253,249228,49734,520539,199562,54830,226914,36529,2023,84,223324,34124,617,1186,0,714630,235359,105778,302712,73232,4942,855,0,0,528080,200926,59445,224361,40309,2259,107,0,0,0,0,0,717281,233983,111275,296222,77730,5622,932,282077,68843,725,124,2562,17702,680874,211565,87344,327960,57920,4986,807,0,0,537725,189056,60078,240865,49269,3764,626,0,0,619063,215271,87763,232728,64150,673,141,2620,15717,753500,238466,120348,313558,82298,11666,1051,619063,215271,87763,244701,69825,8903,792
9,8,300603,154452,132765,349185,183395,148924,353261,193158,153458,247907,125044,116345,247885,119246,114451,305322,157296,128611,301609,148505,134686,500957,361853,67418,20107,48535,1810,283,18627,46919,425,985,0,743554,458337,161259,35287,88658,6822,1080,0,0,499917,357205,69579,20450,49901,1789,178,0,0,0,0,0,742551,449918,164745,37515,89999,7120,919,28355,80587,552,231,1832,16338,729724,478996,142121,32330,77476,6700,774,0,0,535344,372495,87920,19318,55339,4128,527,0,0,578137,359628,116227,20174,66628,643,111,1595,13131,753687,439969,173573,37167,96227,17818,1052,578137,359628,116227,24476,71353,12509,734
5,9,335875,264754,58191,371138,292358,58793,376178,309962,59654,296250,233229,56808,295564,231182,55321,342630,274821,46377,335277,246924,72560,544767,369480,56139,53461,61232,2880,283,50212,55501,809,1563,0,748587,451123,103628,83845,110986,6290,1375,0,0,545612,369206,57458,53413,60696,2718,366,0,0,0,0,0,748869,448948,103110,86362,111326,6593,1559,73787,92126,805,360,2470,27256,714464,434647,101717,81807,97828,6456,1299,0,0,596313,382123,73845,61930,78171,4799,1047,0,0,630913,380737,81579,58665,84884,762,173,3229,20884,754017,437291,105869,87530,117733,12897,1272,630913,380737,81579,68543,94076,9947,995
