ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,273315,60548,208366,317887,64669,247027,332582,71793,255802,239700,54553,182867,239967,67449,169338,276778,54088,212003,595943,564365,8426,14885,2930,4630,245,12776,2210,1399,493,0,757222,696213,24579,24279,7422,6392,1066,0,0,600514,567382,9362,15161,3331,4779,298,0,0,0,0,0,760613,697404,25598,24629,7861,6306,1286,16050,5806,1750,686,213,13106,751248,699591,20358,20371,5516,6243,624,0,0,592082,557817,12404,13551,3824,4794,399,0,0,616466,557465,19108,13146,4336,1463,317,1482,19149,767856,683046,30636,24582,8214,19118,1023,616466,557465,19108,16717,5913,14897,668
7,2,296488,106016,184101,348903,117604,225310,356378,127698,221432,262599,95905,163455,262319,111793,146121,290990,88591,184975,568369,507145,10660,37157,7838,5083,260,34382,6446,1862,734,0,742085,631274,31865,55414,17249,7244,1254,0,0,574066,511536,11493,37690,7841,5219,219,0,0,0,0,0,749284,634567,33486,56117,17789,7313,1197,46726,13319,1732,317,1599,17540,698199,605005,24819,50435,13035,6375,829,0,0,544865,481223,16142,34145,9394,4763,552,0,0,608122,506296,28798,35059,12178,1533,289,1764,22205,767903,621379,45392,58850,20092,20889,1055,608122,506296,28798,40437,14869,15896,723
8,3,296232,96142,194641,344636,104208,233690,353409,113138,233757,264489,87918,174014,264910,101638,159485,292054,84423,193527,578113,491030,13141,62132,5719,5576,168,60183,4973,1458,658,0,754629,608876,39410,87699,12589,7778,862,0,0,586295,496432,14810,62685,6391,5670,157,0,0,0,0,0,761960,611478,41057,88899,12954,7943,851,77942,10528,1491,237,1768,17458,716958,590292,28699,82725,9874,7187,861,0,0,559893,471646,18246,58523,7084,5395,536,0,0,608022,487002,30874,56276,8711,1511,221,1542,21885,768005,596683,49073,85194,15028,22076,1044,608022,487002,30874,61418,10970,16980,647
4,4,313432,108896,197660,374416,122237,243373,384356,138064,238845,277964,97334,176318,277822,113357,161728,291481,85195,189179,508287,429665,14915,48189,11619,3379,74,45998,9953,1052,806,0,704796,565501,36902,71081,27985,5216,744,0,0,524303,440154,16056,51235,12771,3596,65,0,0,0,0,0,725604,573775,40185,73917,31178,5851,955,62709,25448,1209,116,2096,20070,579596,485456,25676,47882,17384,4619,700,0,0,425924,364014,15798,32254,11284,3228,402,0,0,574001,446340,34016,50947,20372,1289,292,1997,18748,767884,579249,53260,81807,36173,16280,1222,574001,446340,34016,56278,23952,11879,781
2,5,278333,175675,92099,317178,193178,113671,326091,208752,107379,256443,159001,83489,255568,179100,74126,262598,155139,91007,524041,340015,19923,145505,13678,3711,267,142624,11442,1190,1267,0,735754,413434,78797,206306,32136,6039,1645,0,0,530527,342847,21610,146496,14771,3951,299,0,0,0,0,0,739001,413624,79059,208131,32408,5912,1380,195137,26026,984,440,2488,21241,672183,387959,67176,190327,25105,6100,1121,0,0,521941,324092,43271,134325,18267,4550,765,0,0,610048,351288,73613,137963,23633,1196,266,2391,19698,767912,409809,111090,198707,37719,16173,1293,610048,351288,73613,146699,28648,12710,942
9,6,268552,65913,198225,314722,64178,243817,331894,72633,254309,233870,64029,167420,233485,73337,156272,269524,60059,200092,570356,530033,9821,19856,2914,7234,245,18626,2166,1826,483,0,747680,668402,33211,30779,6292,10191,831,0,0,579732,536078,11412,21601,3198,6824,237,0,0,0,0,0,757414,672792,34473,33734,7006,9014,967,26622,4370,2039,373,1050,15690,710593,649356,25981,25104,4601,6485,623,0,0,546871,506563,15549,17099,3131,4948,378,0,0,601624,530476,24933,20212,3794,1599,154,1275,19181,767679,663901,40431,34008,7783,20220,886,601624,530476,24933,23446,5422,15525,583
5,7,258556,77897,175591,307530,81744,217660,321920,91614,224380,224219,72861,148686,224171,81928,138766,255040,68616,175775,542926,456135,18806,55184,5898,5337,668,52793,4272,1990,1287,0,727173,586614,40953,82633,11877,8524,2325,0,0,552370,462521,20031,56009,6363,5862,645,0,0,0,0,0,738902,592342,43566,84001,12321,9289,2493,69256,7985,2200,863,2416,20277,677549,564120,30049,69928,8929,7681,1581,0,0,508038,432670,18125,47019,5991,5459,930,0,0,585807,466004,31924,55267,6433,1821,771,1801,21786,767790,592066,50916,90966,14158,20254,2637,585807,466004,31924,62159,9644,14996,1581
1,8,296817,86772,204865,339489,90347,241574,353523,103147,245274,261742,77408,180643,262316,88888,169363,307987,86059,212037,573912,443389,9876,110302,5510,4034,156,108438,4661,1602,797,0,759928,562822,25426,155551,12234,6071,614,0,0,578126,446219,10389,111611,5039,4175,161,0,0,0,0,0,760406,563513,26019,154536,11070,6454,642,144041,8290,1678,204,1171,15486,767607,582825,19680,151267,9977,5461,557,0,0,580706,452656,11926,106358,6545,4108,350,0,0,595831,442172,17486,107682,8190,1387,165,1296,17453,767871,554145,28065,153973,15007,15645,992,595831,442172,17486,112668,10225,12006,695
3,9,250125,181302,63298,285338,202526,74804,292836,216872,71297,222268,155854,59214,223182,167960,52284,261575,188525,64330,554696,182667,11908,348337,8918,2674,179,345859,7861,722,850,0,780089,218422,53031,486499,21171,4746,676,0,0,556370,178854,13604,351361,9928,2695,149,0,0,0,0,0,779084,209876,53719,490099,22971,4807,771,480117,20036,731,203,2681,11724,772172,236178,47621,469139,18977,4723,889,0,0,569784,196896,30545,327783,13722,3391,554,0,0,584552,171253,44965,335655,16278,946,150,2009,13296,767940,199968,70324,468027,24509,10781,856,584552,171253,44965,344915,18747,8172,625
