ID,Label,Total_2016-2022_Comp,Dem_2016-2022_Comp,Rep_2016-2022_Comp,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2022_Gov,Dem_2022_Gov,Rep_2022_Gov,Total_2022_Con,Dem_2022_Con,Rep_2022_Con,Total_2022_SoS,Dem_2022_SoS,Rep_2022_SoS,Total_2022_Sen,Dem_2022_Sen,Rep_2022_Sen,Total_2022_AG,Dem_2022_AG,Rep_2022_AG,Total_2022_LtG,Dem_2022_LtG,Rep_2022_LtG,Total_2021_SenRoff,Dem_2021_SenRoff,Rep_2021_SenRoff,Total_2020_SenSp,Dem_2020_SenSp,Rep_2020_SenSp,Total_2021_SenSpRoff,Dem_2021_SenSpRoff,Rep_2021_SenSpRoff,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_LtG,Dem_2018_LtG,Rep_2018_LtG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,284359,123699,155842,279876,121297,153709,261976,108193,151766,259926,111863,148063,258776,100730,150751,260982,117096,138988,259429,108970,146343,258783,107527,145523,294872,136297,158575,325952,143324,174044,294866,136550,158316,332751,150046,177868,328882,144851,175798,248241,110731,137510,253571,113041,138118,242378,107356,135022,268443,114906,145533,253609,95729,147818,552589,339850,24538,174402,8473,3977,510,170460,6985,1714,1478,0,744904,427523,51639,245115,20154,7383,2447,0,0,559828,342337,25314,177193,8924,4568,431,0,0,0,0,0,753156,427855,53374,250078,21566,7947,2526,229868,13752,1803,1139,2520,22852,690902,407878,40657,225973,15576,6353,1997,0,0,521594,323766,26414,158575,11184,4461,1182,0,0,591336,347241,39646,165846,14503,1477,894,2249,19480,765085,427075,59376,243405,24609,15917,2774,591336,347241,39646,176409,18437,11697,1777
10,2,278575,146545,128895,287837,151356,133272,249809,126940,121553,248030,133549,114481,246024,119560,120983,248819,133156,112414,247119,126042,118376,246068,124698,117503,290442,160594,129848,319761,170069,143777,290606,161212,129394,325210,175861,146286,321355,169196,146137,263520,141624,121896,269681,144642,123488,254162,134271,119891,286667,150131,130820,268039,128254,132295,556296,258296,17583,267828,7861,2999,402,265549,6393,1312,1386,0,750404,319595,40489,374424,17771,5215,1494,0,0,556797,255149,18236,270424,8160,3485,446,0,0,0,0,0,748417,313770,41346,376402,17948,5748,1697,359797,12835,1391,639,1836,16802,764254,346070,35000,369080,13925,6001,1669,0,0,571512,277738,23114,259713,9924,4301,1080,0,0,589409,260317,29976,269808,10613,1264,583,1709,15139,765189,316085,44908,379807,18737,12209,2022,589409,260317,29976,279714,13715,9049,1364
11,3,348553,112119,230910,340163,108558,226250,328558,99674,226567,325106,99406,225700,324900,94595,220060,326832,109941,209627,325986,101426,219889,325492,100521,218594,354390,122361,232029,389710,129262,253067,354414,123735,230679,395452,133426,257486,392154,127416,256353,307700,101858,205842,313718,101767,209036,301686,96886,204800,326951,101898,216136,311806,86597,212712,556459,394144,16617,134621,6793,3244,485,132672,5816,1098,1006,0,747654,504468,36750,187214,15845,6691,1326,0,0,564613,398471,16898,137032,7604,3440,437,0,0,0,0,0,755749,505902,37669,190094,16603,6565,1365,179828,11444,1351,429,3605,15525,713758,495343,30586,172542,12416,5648,806,0,0,531912,380250,19482,121548,8183,4059,507,0,0,589210,394881,27259,135615,10931,1191,181,2094,17058,765134,496442,42034,193635,19047,15647,973,589210,394881,27259,142576,13312,11663,609
4,4,323430,265110,53214,328072,264905,57647,298222,241896,54520,293844,243747,50097,295967,231668,59598,297564,250756,41950,295551,240022,50958,294752,239855,48132,349341,291667,57674,367133,300151,59575,349381,293902,55479,370804,308227,58373,367643,298479,61859,306566,251806,54760,312741,261042,48923,299933,247986,51947,312504,251370,51468,301138,218383,70994,514560,176658,16629,296758,20699,3582,117,292603,18906,1150,1553,0,749265,218214,63940,415843,52875,14271,1121,0,0,522335,178637,18602,299929,21334,3540,154,0,0,0,0,0,755287,219695,63726,418665,54830,16390,1117,399058,46086,1500,495,2711,22016,691990,203443,67847,384578,40071,6881,978,0,0,526833,171379,46936,279839,30671,4915,681,0,0,595276,180161,55506,298751,38837,871,164,3296,17690,764382,215895,81471,407451,58381,12908,989,595276,180161,55506,314230,43384,9615,748
2,5,313808,253349,55615,315353,250473,59599,290135,230864,57680,284977,232544,52433,287398,218719,63781,289239,241094,43850,286945,229040,53525,285957,228585,50761,336863,274555,62308,357252,285504,64108,336935,277281,59654,361264,295830,61365,358476,284265,66678,291274,235039,56235,297575,246048,49144,284827,231797,53030,299771,239477,50667,288061,202363,74547,543355,195421,18045,312261,14554,2422,142,308814,12797,876,1404,0,732623,232715,44040,425600,32672,7576,874,0,0,557220,198583,19679,318067,16511,2445,227,0,0,0,0,0,745310,234879,45089,431666,35839,7618,1292,416137,29508,1284,255,3102,15056,646375,199641,45188,383044,22095,5387,747,0,0,503667,172114,30991,283624,18790,4062,549,0,0,617798,203759,40681,323018,27436,968,240,3222,18474,765052,233367,55225,437240,38418,10372,1071,617798,203759,40681,339191,32245,8092,820
3,6,320213,184162,129290,322379,179571,135549,291820,164676,124867,288272,167512,120760,289445,156504,124762,290549,176067,107432,289591,165846,118516,288965,165060,115967,337261,203791,133470,369084,215406,144461,337262,206052,131210,373418,222771,145025,370287,213969,146640,290744,167553,123191,294835,171312,120075,286340,165174,121166,307875,161990,133775,299454,139871,144682,515241,273432,35020,185344,17119,3400,225,181359,15689,893,1409,0,755152,342777,102788,277724,37456,6444,1088,0,0,524849,272904,37698,191711,18040,3533,234,0,0,0,0,0,759791,337644,102767,283555,38854,6985,1366,260559,32531,873,260,3120,22039,686522,346588,88219,225201,27797,6498,1102,0,0,507517,278282,54965,153461,20312,4454,743,0,0,591365,265825,77250,195644,24994,1142,264,5072,21174,765312,317652,116052,284346,38583,16393,1243,591365,265825,77250,210405,29103,12108,857
1,7,350110,157295,184849,347279,148463,190356,321620,135430,183492,318318,142428,175890,319431,125251,184283,319610,154529,155714,319215,139190,174415,318955,140074,170545,375353,177156,198197,400790,183970,206236,375151,180477,194674,408586,198835,203596,405991,185087,211315,309614,134589,175025,314154,139640,169819,306368,133800,172568,327397,131073,181026,319049,101423,201261,474662,332166,28061,61121,49532,2663,53,59221,46992,1249,1434,0,742679,447220,73366,98951,122045,5217,1025,0,0,486602,337589,29955,62459,52977,2337,48,0,0,0,0,0,754276,448475,75603,98870,127947,4692,929,84753,115559,1263,71,4808,23740,648000,433034,62654,71410,80158,4306,838,0,0,463781,320916,40061,47568,54103,2782,531,0,0,571227,335644,54125,60823,97418,744,204,3593,18676,765348,427024,80517,97321,149031,11995,1114,571227,335644,54125,69488,102980,8485,762
14,8,267293,76344,188221,270333,78762,189009,244668,64779,178578,241870,63853,178017,240091,59946,173698,243681,69172,171245,241783,64811,174475,240936,63356,174277,272656,84906,187750,303730,90122,207895,272755,85170,187585,311862,95519,213693,307813,90523,211569,246460,72857,173603,253552,74160,178129,239502,68470,171032,267426,79664,183138,248023,66401,174226,566549,371545,19071,168464,3909,2968,127,166665,3148,1271,914,0,768170,468393,55127,234830,8579,5772,1153,0,0,568879,370725,21480,169197,3562,3409,157,0,0,0,0,0,768454,465437,56406,235597,8894,6373,981,227339,5624,1716,181,1404,10336,770271,484426,48899,226882,7683,5555,811,0,0,576793,378577,30443,160342,5402,4028,524,0,0,584317,363403,38623,161341,5260,1251,226,1222,12991,764859,455893,58930,231503,9573,12577,1064,584317,363403,38623,167886,6937,9413,736
12,9,328457,89905,232841,315607,86987,223069,311866,77550,231778,308731,81947,226784,308120,73930,222780,310093,88430,214219,309469,80942,223694,309057,80687,221945,331459,98252,233207,368593,103159,257838,331413,99457,231956,374604,108922,260954,371256,103233,258975,283749,81620,202129,289796,81077,205790,279089,78705,200384,298716,81072,208322,285475,70236,202034,556320,454369,19161,69310,8858,3956,198,67614,7461,964,667,0,737236,562345,54572,98437,17070,5837,1070,0,0,569173,461718,22873,70396,9362,4233,140,0,0,0,0,0,750268,569213,57145,99965,18294,6737,1014,92055,14539,1030,196,1783,14309,688401,539573,43198,87072,14832,5623,799,0,0,530810,428992,26430,61524,10821,4174,519,0,0,602574,463430,39625,64478,12998,1384,171,2199,18289,764433,568524,60889,96153,20919,18001,991,602574,463430,39625,69386,15741,13609,665
