ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,326269,160979,159342,410775,193201,211652,283480,148461,134933,285555,139551,139357,279753,136748,137723,359708,150238,194879,342926,198093,138508,558175,458101,53138,26980,17338,1945,72,25378,15846,1080,775,0,752143,563461,110919,45057,34371,3988,576,0,0,560897,457901,54185,27700,18502,1845,57,0,0,0,0,0,751373,561360,108969,47049,35412,4223,821,35431,30303,1004,159,2232,11923,754082,593096,91203,41419,28941,6092,707,0,0,576817,465111,62133,27940,21006,4154,483,0,0,623450,457934,91667,29865,25339,1597,102,2821,14125,776598,547271,131412,53119,38462,12489,897,623450,457934,91667,38789,29302,9081,617,777374,547540,131578,53021,38518,11507,828
4,2,302880,153291,144658,385286,181462,198571,257879,137242,120577,259444,130334,123520,255142,127426,123220,339801,147559,179790,323584,195886,122335,545067,384470,87203,50317,19276,2695,214,48753,18310,1169,1399,0,760105,473538,173908,82119,35804,9385,1210,0,0,549564,377305,94708,52043,21925,2625,208,0,0,0,0,0,758856,460506,181095,83061,39174,7296,1428,67044,32991,1147,203,3294,12567,765325,512729,150393,77953,30413,5982,884,0,0,582091,405391,103825,54427,21861,4044,634,0,0,613796,378952,139397,50898,28607,765,79,3530,11568,777274,453985,196481,82838,43958,13413,852,613796,378952,139397,61933,32571,9539,638,778234,454213,196748,81736,43790,11627,786
3,3,315473,183140,127006,402103,224414,172361,269371,162269,106980,268652,155482,107630,266074,151244,109558,351108,185561,152692,338162,219699,112955,545212,383594,47153,18630,93542,1395,224,17566,91403,677,846,0,760292,477020,87203,29738,163047,4073,803,0,0,546387,379524,50381,18375,95562,1664,134,0,0,0,0,0,760547,470412,90545,29548,167831,5093,832,21720,157818,1471,146,4929,13509,751048,512758,76572,28420,133759,3541,791,0,0,582909,407526,55304,20850,99026,2395,578,0,0,621398,372128,73370,18473,141386,514,118,3710,11699,776838,445017,101328,31955,194329,7312,925,621398,372128,73370,24497,147527,5190,724,777144,445132,101409,31769,194560,6822,872
5,4,309751,189802,115412,388088,226129,156987,266250,168445,97706,264493,162528,97219,263704,159703,99974,346068,193643,140406,333395,228101,100595,524765,307142,78371,102953,33366,1588,178,100493,31693,655,1646,0,752358,381069,164780,160761,57602,9447,609,0,0,530856,303354,83786,104900,35666,1576,207,0,0,0,0,0,752797,374952,163607,162456,62320,8369,577,137445,54006,707,90,5327,16661,741530,419535,139337,142630,46150,5707,1020,0,0,569022,335624,98458,104477,33990,3835,746,0,0,610623,306740,129149,106307,47657,875,143,5821,13931,777386,372967,179059,156081,70242,10766,1122,610623,306740,129149,121527,53006,8115,827,778323,373086,179285,154985,69949,9736,1037
6,5,210212,181502,26711,268605,219114,47497,172438,152923,19426,175367,153365,19683,173810,152737,19313,240188,202534,33130,233171,208272,21790,499903,77559,86383,248239,79060,3921,1492,245933,78135,2206,4219,0,769975,97412,155136,365122,134679,8783,3649,0,0,500793,78179,84858,247748,80769,4154,1302,0,0,0,0,0,765885,96851,150445,363089,138650,9433,3685,330621,123775,2564,470,33633,27532,713571,98906,138517,369622,106340,12865,3898,0,0,544593,82389,100275,279461,81129,8697,2944,0,0,615838,72087,118233,254822,98960,5616,553,29023,36544,777386,88042,157268,367815,146789,21568,3718,615838,72087,118233,294381,115357,16938,3040,779113,88106,157527,365954,148560,18855,2828
12,6,165008,126700,34740,222223,155009,64722,133225,108149,24927,135309,105743,24541,131884,104331,23973,189790,141943,41805,178037,145002,28496,376144,117969,108501,24878,121193,2764,175,23369,118706,1344,1026,0,709081,156371,255488,44759,260243,8456,1533,0,0,377502,115905,110089,24195,123432,2186,220,0,0,0,0,0,705627,153693,250220,45671,267391,7212,1550,29793,251937,1479,188,2646,15667,714185,170525,255026,46771,250593,9297,1818,0,0,573580,145244,194995,36963,202679,6749,1452,0,0,631152,131201,208850,27487,245362,644,146,5102,12360,777647,154707,268314,49938,309100,19699,1717,631152,131201,208850,40032,254127,15063,1343,778038,154741,268574,45586,306911,16265,1379
11,7,200081,164491,30310,258342,198726,56229,168172,146529,21467,170251,139810,21659,168122,142898,21320,223429,179388,36184,212879,179512,25133,486828,196153,159175,81181,46795,2151,161,78979,43973,1079,1319,0,755926,265663,288846,141931,83927,8033,1582,0,0,490388,194619,160910,81834,49361,2330,148,0,0,0,0,0,749555,261784,285155,142051,85478,8944,1696,102918,72817,1327,82,5680,19794,708818,233119,283045,145315,69151,10929,2493,0,0,546635,194781,204961,106256,55045,7756,1880,0,0,628324,227116,221023,80141,69546,1394,279,8636,20189,777093,269204,285160,142040,96995,19411,2379,628324,227116,221023,111812,79482,15186,1872,778576,269296,285739,128599,94813,15052,1665
7,8,192072,138825,50755,250285,159158,88972,157297,118118,39041,159396,118651,38092,157403,117624,37299,220980,149400,66352,208263,170031,35025,477063,191793,51032,182205,49413,1855,64,180798,47653,775,1143,0,740399,278753,94019,286497,94623,4127,670,0,0,473947,188503,52585,181447,49037,1519,126,0,0,0,0,0,731617,270368,92858,284594,95806,3912,810,259981,82193,650,463,4862,20233,725404,300782,89680,277211,73516,5343,1333,0,0,553347,241010,63380,203146,55897,3716,1030,0,0,603736,217728,74911,202458,78112,857,117,5194,24359,776478,274208,102188,300893,113964,9139,1323,603736,217728,74911,233512,87195,6894,1029,778029,274314,102461,289205,112781,6846,901
8,9,218869,192017,22362,269454,224394,42508,191549,174531,16811,193594,169583,16057,192735,174952,14791,237649,202982,28050,228646,205619,16093,465120,139715,50081,237033,34932,2053,69,233879,33084,624,1913,0,737469,216218,90599,374563,72835,5203,718,0,0,468969,141731,49861,237963,35929,2110,55,0,0,0,0,0,734111,218387,87730,368487,74465,6352,744,336627,65200,940,56,4408,20755,728013,185590,86635,411196,65674,6787,1659,0,0,541389,128316,62749,315985,49301,4838,1307,0,0,599452,162421,73806,262065,62172,883,142,8147,29816,777370,226463,97001,370443,91372,10763,1304,599452,162421,73806,301168,69936,8427,1041,779216,226514,97235,361671,88158,7017,798
