ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Tres,Dem_2020_Tres,Rep_2020_Tres,Total_2020_Aud,Dem_2020_Aud,Rep_2020_Aud,Total_2020_AG,Dem_2020_AG,Rep_2020_AG,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_AG,Dem_2016_AG,Rep_2016_AG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,401911,208937,185264,457902,225618,218636,456955,214246,226062,460095,236542,211507,465610,241911,218804,344581,193817,145164,344709,201857,138005,402420,195591,191629,391823,198526,193297,397292,184088,206571,563223,493132,19359,21690,26568,1743,24,19804,24836,633,763,0,741994,616084,38997,37189,49077,3635,949,0,0,567752,493740,20570,22452,28383,1916,108,0,0,0,0,0,744016,606661,39593,38743,51370,3571,925,28107,44211,438,169,7697,17138,735549,632464,30619,31277,39980,4029,669,0,0,565807,496137,19844,20262,28212,2766,454,0,0,608628,499252,30424,22891,38279,552,155,1972,15103,764586,608675,46447,40611,57359,9199,798,608628,499252,30424,27688,41983,6625,556,765241,609171,46482,40972,57469,9203,817
17,2,286767,203554,78933,313522,210933,92886,311540,205119,94226,315536,218689,88555,331921,225646,103641,233385,176497,54039,233665,178832,52278,309632,215671,86387,294800,218139,76661,298893,205898,88930,522486,272951,94508,117034,34351,2909,126,113088,32888,956,1522,0,764604,343296,172478,195873,66401,8540,1070,0,0,527134,270380,97675,118161,36960,2670,143,0,0,0,0,0,767199,337105,176218,195647,71739,9253,1012,163578,64521,1186,142,4126,20320,735026,377754,137514,173998,55936,8355,1766,0,0,552767,310650,88272,116600,41432,5384,1246,0,0,588363,274035,117659,121140,53947,801,138,4597,16046,764593,326696,170871,193258,78245,10950,1572,588363,274035,117659,137730,59100,8059,1155,766998,327218,171578,194010,78287,10956,1573
16,3,355204,325710,24887,374583,331721,32160,373342,330850,31509,376294,336561,29389,389405,357757,29329,310996,290558,16942,310364,291137,16255,378244,346274,24469,364667,334488,30179,369300,332042,33631,566431,181014,32169,327116,21543,3859,194,321986,19438,1134,2560,0,738237,205945,47830,447569,41956,7929,1789,0,0,566921,182124,33573,324891,21333,3527,164,0,0,0,0,0,738162,206963,49793,445772,41583,6883,1650,421986,34310,1517,269,2146,21180,717500,197054,41081,452018,34071,8139,1086,0,0,575712,181186,29333,338418,30030,6079,847,0,0,631141,207379,41568,317311,40160,1183,351,3409,19780,765018,227395,55216,433767,52012,10948,1402,631141,207379,41568,336672,45614,8481,1095,768889,227506,55411,435656,52018,10952,1404
14,4,382065,222882,151785,438426,244037,179761,437046,233690,184316,440152,256831,171011,445736,263255,177570,327141,203654,118359,327482,210220,112705,379170,208823,155751,372600,208063,164537,376406,194784,175033,552746,462260,20418,44826,23191,1576,104,41724,21743,276,700,0,738426,578623,42577,68053,50182,3892,789,0,0,555440,462287,22899,45109,22739,1681,123,0,0,0,0,0,741469,573949,47151,69607,51016,4546,965,55871,43643,245,195,1773,18638,716841,584653,33103,60268,38972,3677,657,0,0,551990,460830,21573,41427,27615,2484,430,0,0,601925,465378,36143,45504,36632,505,106,2118,15539,764789,570393,55936,74689,55612,9702,822,601925,465378,36143,53058,40298,6892,586,763725,570242,55765,74165,55665,9700,824
15,5,368781,241438,121584,408864,255340,142627,408059,248467,144829,410575,262640,138139,419747,276906,139300,316612,218270,94142,316352,222949,89874,379894,241842,126705,367010,231911,135099,372748,225859,141944,547159,364549,18743,129173,31281,2669,53,126166,29714,984,1385,0,749585,448931,38120,202827,63480,6285,861,0,0,547760,362714,18482,131035,31848,2768,206,0,0,0,0,0,750126,444231,39140,204150,64931,6704,931,186261,57995,1335,209,2164,18789,740095,466354,28939,193711,53384,5240,921,0,0,567295,377495,19604,132087,38575,3551,622,0,0,599263,362962,29937,139981,48072,727,131,2304,15149,764943,437238,44833,208007,70232,9458,951,599263,362962,29937,149717,51846,6824,688,766203,437345,44765,208879,70288,9460,953
13,6,360886,198141,154492,409828,213644,182894,409991,206230,187441,411958,221961,178559,416229,235309,175945,309106,181555,122103,309100,187844,116368,361934,188707,158418,355907,181228,174679,361543,172835,175937,533418,430452,51744,33224,15222,1966,114,30578,13989,428,895,0,740437,541223,110342,64476,36769,9795,796,0,0,537813,430148,55045,33934,15804,2052,95,0,0,0,0,0,742671,538292,111356,64644,38967,7980,736,40623,33450,410,93,1475,16981,717218,550913,89932,54213,26561,4724,879,0,0,538692,430749,55499,36446,17622,3118,590,0,0,589388,430035,81176,32641,28254,522,118,2101,14541,764507,530934,123217,61403,45911,12271,1186,589388,430035,81176,43190,31198,8491,814,765915,531432,123661,61955,45981,12293,1195
2,7,331828,167490,156959,384288,184087,186338,383895,178363,188439,386288,193529,181026,396166,197517,193948,270463,146927,118911,271101,155034,111425,339209,158756,167509,324346,166386,157960,334017,153724,168075,561506,442600,75088,28573,12603,1936,113,25652,11331,507,758,0,745116,538469,132795,60000,26219,5744,894,0,0,563932,440844,78323,28960,12936,2021,172,0,0,0,0,0,748982,532860,138545,60943,27222,6260,824,37925,21261,669,264,2413,15047,726392,565711,99269,46117,21412,5153,923,0,0,562830,460112,61880,28327,14880,3433,597,0,0,606068,440846,97761,31037,18851,544,140,2567,14322,764575,524918,145827,66012,29720,11696,1043,606068,440846,97761,44196,21731,8398,738,765850,525492,146209,66296,29775,11697,1044
1,8,334399,162917,163938,383322,178618,191295,382649,173033,192249,387295,195226,181041,394768,184919,205602,277740,143392,130831,276923,151979,120929,343529,148544,183981,327190,167782,159408,336229,154590,160994,593438,510251,38761,33200,7952,2698,210,30612,6917,580,755,0,756434,618000,67685,57802,17484,6015,844,0,0,592689,503836,42080,33882,8796,3203,296,0,0,0,0,0,756331,607436,73944,59074,18640,6371,917,42734,14053,708,181,2021,15261,770998,662399,48763,48200,12960,4842,642,0,0,607979,537108,30490,30908,9213,3359,428,0,0,617691,499723,50631,35868,11933,843,108,2248,16337,764386,594913,76068,66397,19417,12469,1023,617691,499723,50631,45459,14457,8956,676,763606,594865,75939,65988,19493,12476,1026
11,9,315770,106359,201535,366009,113313,239637,365082,107580,240086,368034,126849,229891,373538,117231,251014,259339,94689,160623,258902,106573,147748,326359,93516,220613,316499,114245,202254,322433,102039,198906,590835,539682,28178,15717,4539,2450,139,14365,3934,828,382,0,758778,666432,56318,28740,9076,4570,732,0,0,591258,537796,29842,16157,4809,2383,231,0,0,0,0,0,757140,660692,57885,30219,9254,4300,798,18215,6984,662,329,975,11388,766929,698555,37134,23698,7256,4084,523,0,0,605161,560706,22705,15927,5043,2859,329,0,0,608901,528732,44245,14168,6017,719,133,1340,13547,765441,646741,67744,30302,10838,11304,1031,608901,528732,44245,20197,7773,8225,671,762679,646122,67304,28852,10872,11309,1040
